tile_width,tile_height,min_active_pixels,num_images,sparse_ms,dense_masked_ms,dense_unmasked_ms,active_tiles,active_ratio,sparse_vs_dense_masked_mean_abs_diff,sparse_vs_dense_masked_max_abs_diff,dense_masked_vs_unmasked_mean_abs_diff,dense_masked_vs_unmasked_max_abs_diff,sparse_vs_unmasked_mean_abs_diff,sparse_vs_unmasked_max_abs_diff,sparse_top1_acc,sparse_top5_acc,dense_masked_top1_acc,dense_masked_top5_acc,dense_unmasked_top1_acc,dense_unmasked_top5_acc,sparse_vs_dense_masked_pred_agreement,dense_masked_vs_unmasked_pred_agreement,sparse_vs_unmasked_pred_agreement
14,16,1,50000,11.113687931134118,3.414413621529966,2.4092116978328706,100.96398,0.631024875,7.25614327708346e-09,0.0006990432739257812,0.0010146255893771665,0.9992488026618958,0.0010146255339881572,0.9992488026618958,43.356,63.784,43.356,63.784,66.82,87.514,100.0,48.356,48.356
15,16,1,50000,10.865864856634289,2.989336154000557,2.09649119222202,98.37382,0.614836375,1.4603146928426903e-08,0.0013371706008911133,0.0010146255893771665,0.9992488026618958,0.0010146256734930939,0.9992488026618958,43.356,63.784,43.356,63.784,66.82,87.514,100.0,48.356,48.356
16,16,1,50000,16.09090308192528,4.707544934998441,3.4012493635197463,93.50474,0.6404434246575342,7.047221000523823e-08,0.0013179779052734375,0.0010146255893771665,0.9992488026618958,0.0010146255417939661,0.9992488026618958,43.356,63.784,43.356,63.784,66.82,87.514,99.996,48.356,48.356
17,16,1,50000,18.141929715942823,5.345053211237465,3.8738247121885068,91.2274,0.624845205479452,5.595706425104635e-07,0.0019254684448242188,0.0010146255893771665,0.9992488026618958,0.0010146258010483604,0.9992486834526062,43.354,63.784,43.356,63.784,66.82,87.514,99.956,48.356,48.358
18,16,1,50000,10.266441940079456,3.0320684102793893,2.116061187843952,88.64466,0.607155205479452,4.266230989185088e-07,0.0013846158981323242,0.0010146255893771665,0.9992488026618958,0.0010146257028172548,0.9992488026618958,43.354,63.776,43.356,63.784,66.82,87.514,99.976,48.356,48.356
