config_label,tile_width,tile_height,min_active_pixels,mean_coverage_efficiency,mean_active_tiles,mean_sparse_ms,sparse_top1_acc,dense_masked_top1_acc,dense_unmasked_top1_acc
"w=15, h=15, minpix=3",15,15,3,0.6929458268126975,102.1886,9.491439772796149,43.372,43.342,66.82
"w=15, h=16, minpix=3",15,16,3,0.6874584829477116,96.82056,10.541055614456562,43.306,43.342,66.82
"w=15, h=17, minpix=3",15,17,3,0.6692850399210197,94.84296,12.562402071217075,43.362,43.342,66.82
"w=15, h=18, minpix=3",15,18,3,0.6664600083420422,92.44332,14.158686608214921,43.328,43.342,66.82
"w=16, h=14, minpix=3",16,14,3,0.694040713838333,99.14706,8.95813556325331,43.362,43.342,66.82
"w=16, h=15, minpix=3",16,15,3,0.686538644038109,97.1029,9.965322257637453,43.292,43.342,66.82
"w=16, h=16, minpix=3",16,16,3,0.6811738948408955,92.08444,8.619166066119796,43.304,43.342,66.82
"w=16, h=17, minpix=3",16,17,3,0.6630865062737213,90.22538,9.369916982772702,43.316,43.342,66.82
"w=16, h=18, minpix=3",16,18,3,0.6603452215124853,87.93656,7.976072102213802,43.308,43.342,66.82
"w=17, h=14, minpix=3",17,14,3,0.6789463372261028,96.6567,7.463746063096332,43.368,43.342,66.82
"w=17, h=15, minpix=3",17,15,3,0.6716743868684396,94.69158,9.415506643376721,43.354,43.342,66.82
"w=17, h=16, minpix=3",17,16,3,0.6663110962354996,89.81224,7.9431335581644085,43.332,43.342,66.82
"w=17, h=17, minpix=3",17,17,3,0.6486735040151238,88.02446,8.961476762676611,43.376,43.342,66.82
"w=17, h=18, minpix=3",17,18,3,0.6460851941690025,85.83128,8.394169210753171,43.314,43.342,66.82
"w=18, h=14, minpix=3",18,14,3,0.674546318315806,93.8223,7.478959578102222,43.352,43.342,66.82
"w=18, h=15, minpix=3",18,15,3,0.6673598426147808,91.98144,8.793728031328065,43.346,43.342,66.82
"w=18, h=16, minpix=3",18,16,3,0.6621516785161622,87.23124,7.614724725917622,43.302,43.342,66.82
